iteration,type,latency (ms)
0,moe,64.9175033569336
1,moe,51.96799850463867
2,moe,52.177921295166016
3,moe,51.65977478027344
4,moe,63.05894470214844
5,moe,50.80166244506836
6,moe,50.44428634643555
7,moe,65.39673614501953
8,moe,51.05868911743164
9,moe,50.353153228759766
10,moe,50.81907272338867
11,moe,50.93580627441406
12,moe,49.9312629699707
0,dense,10.835968017578123
1,dense,10.866687774658203
2,dense,10.745856285095217
3,dense,10.888192176818848
4,dense,10.96396827697754
5,dense,10.743807792663574
6,dense,10.910719871520996
7,dense,10.988544464111328
8,dense,10.917887687683104
9,dense,10.987520217895508
10,dense,10.781696319580078
11,dense,10.854399681091309
12,dense,10.885120391845703
0,dense_param_matched,400.5652465820313
1,dense_param_matched,400.2171020507813
2,dense_param_matched,402.6408996582031
3,dense_param_matched,403.4764709472656
4,dense_param_matched,403.7068786621094
5,dense_param_matched,404.1748352050781
6,dense_param_matched,405.2019348144531
7,dense_param_matched,404.96331787109375
8,dense_param_matched,407.02874755859375
9,dense_param_matched,403.2471008300781
10,dense_param_matched,403.4529418945313
11,dense_param_matched,402.8538818359375
12,dense_param_matched,405.70062255859375
