iteration,min (ms),idle (ms)
0,7.23967981338501,17.957889080047607
1,5.82860803604126,9.538560390472412
2,6.309887886047363,8.34457588195801
3,6.351871967315674,8.682495594024658
4,5.97811222076416,9.118720054626463
5,6.115327835083008,8.725503921508789
6,6.28223991394043,8.596480369567871
7,5.980160236358643,9.003007411956787
8,6.02726411819458,8.84940767288208
9,6.418432235717773,8.410111427307129
10,5.982207775115967,8.972288608551025
11,5.801983833312988,9.046015739440918
12,5.894144058227539,9.044991493225098
