,dataset,scheduling_policy,MTTFT (ms),std div,num samples
0,bookcorpus,deepspeed,30.646557236711182,0.38724796361875935,20
1,bookcorpus,drop,24.676434695720673,0.41188210182509455,10
2,bookcorpus,even_split,54.46341683467229,0.5148397432833397,10
3,bookcorpus,exflow,46.409839019179344,0.17396393941542018,20
4,bookcorpus,harmony,27.746547634402912,0.28325468765411976,10
5,random,deepspeed,32.04217776656151,0.77437042809047,20
6,random,drop,25.179083024462066,0.2242291476586197,10
7,random,even_split,53.23224018017451,0.4224348056009855,10
8,random,exflow,43.259477615356445,0.383118140734531,20
9,random,harmony,27.869717155893643,0.4133088879483045,10
10,wikitext,deepspeed,32.26927804450194,1.065496572038962,20
11,wikitext,drop,25.044021755456924,0.3092871371880199,10
12,wikitext,even_split,54.71792183816433,0.9944938930733185,10
13,wikitext,exflow,47.13255874812603,0.6503946623352567,20
14,wikitext,harmony,28.40604571004709,0.3014341223352745,10
15,wmt19,deepspeed,31.204304223259292,0.5968239884016462,20
16,wmt19,drop,24.09613132476807,0.4333319527887926,10
17,wmt19,even_split,54.81550606588523,0.42538295714754343,10
18,wmt19,exflow,44.497403378287956,0.27867835812480307,20
19,wmt19,harmony,27.617345998684563,0.35635711235386835,10
