,system,dataset,duration (s)
0,deepspeed,random,942.954962015152
1,deepspeed,skew25,942.3524627685547
2,deepspeed,skew50,2542.7077622413635
3,deepspeed,skew75,3424.881423473358
4,deepspeed,skew90,2737.7805454730988
5,deepspeed,skew95,2908.554296731949
6,fastmoe,random,406.0757782459259
7,fastmoe,skew25,409.36432218551636
8,fastmoe,skew50,420.2285351753235
9,fastmoe,skew75,428.23100066185
10,fastmoe,skew90,431.9744987487793
11,fastmoe,skew95,442.87347316741943
12,fastermoe,random,407.79133224487305
13,fastermoe,skew25,413.7598543167114
14,fastermoe,skew50,418.60273265838623
15,fastermoe,skew75,431.6980938911438
16,fastermoe,skew90,433.9347999095917
17,fastermoe,skew95,442.1529915332794
18,harmony,random,317.1380317211151
19,harmony,skew25,315.8925611972809
20,harmony,skew50,319.60848236083984
21,harmony,skew75,314.9092288017273
22,harmony,skew90,309.00990080833435
23,harmony,skew95,311.1991367340088
24,exflow,random,481.75092482566833
25,exflow,skew25,510.9324276447296
26,exflow,skew50,544.1563279628754
27,exflow,skew75,561.4538893699646
28,exflow,skew90,568.2766242027283
29,exflow,skew95,564.2280595302582
