,dataset,scheduling_policy,throughput (toks/s)
0,bookcorpus,deepspeed,32.630092583518994
1,bookcorpus,drop,40.524492793661864
2,bookcorpus,even_split,18.360948653581055
3,bookcorpus,exflow,21.54715511050878
4,bookcorpus,harmony,36.040519821648054
5,random,deepspeed,31.208864993052295
6,random,drop,39.715505089223335
7,random,even_split,18.785608056608407
8,random,exflow,23.11632167386634
9,random,harmony,35.88123964108939
10,wikitext,deepspeed,30.989227543948125
11,wikitext,drop,39.92968899981516
12,wikitext,even_split,18.275547871822244
13,wikitext,exflow,21.216756029392517
14,wikitext,harmony,35.203773527911515
15,wmt19,deepspeed,32.046860998573806
16,wmt19,drop,41.50043783053732
17,wmt19,even_split,18.24301318678067
18,wmt19,exflow,22.47322144842141
19,wmt19,harmony,36.209127410274355
