,router_skew,scheduling_policy,throughput (toks/s)
0,0.0,deepspeed,45.940762829809266
1,0.0,drop,45.2559878556885
2,0.0,even_split,18.13413833829132
3,0.0,exflow,32.13916934900362
4,0.0,harmony,45.55730171955023
5,0.5,deepspeed,24.584656698178556
6,0.5,drop,40.191363878980845
7,0.5,even_split,17.525186772716893
8,0.5,exflow,19.33614044266796
9,0.5,harmony,36.4577022287726
10,0.9,deepspeed,18.31131309044479
11,0.9,drop,40.792706084762735
12,0.9,even_split,15.42631410195572
13,0.9,exflow,14.855234523126752
14,0.9,harmony,32.763057279005224
