,throughput (toks/s),router_skew,scheduling_policy
0,218.74084456916077,0.0,deepspeed
1,207.76556848455354,0.0,drop
2,88.21619422316839,0.0,even_split
3,214.1430005255264,0.0,exflow
4,213.66089834427154,0.0,harmony
5,132.09925944179128,0.5,deepspeed
6,213.27141927341907,0.5,drop
7,97.13162478660755,0.5,even_split
8,136.1781033778994,0.5,exflow
9,207.13187152604894,0.5,harmony
10,102.24915865894835,0.9,deepspeed
11,214.39803840524584,0.9,drop
12,92.668647062732,0.9,even_split
13,106.4564667634005,0.9,exflow
14,186.5181231681783,0.9,harmony
