,router_skew,system_name,throughput (toks/s)
0,0.0,deepspeed-inference,81.28882654567359
1,0.0,exflow,214.1430005255264
2,0.0,fastermoe,232.09782381607636
3,0.0,fastmoe,232.3704411796824
4,0.0,harmony,213.66089834427154
5,0.5,deepspeed-inference,23.64460692066943
6,0.5,exflow,136.1781033778994
7,0.5,fastermoe,159.6439757753591
8,0.5,fastmoe,159.91137457233378
9,0.5,harmony,207.13187152604894
10,0.9,deepspeed-inference,20.395941147059606
11,0.9,exflow,106.4564667634005
12,0.9,fastermoe,122.12521053665145
13,0.9,fastmoe,122.25815583621534
14,0.9,harmony,186.5181231681783
